Origin,Destination,Distance,Distance2
"Atlanta
Hawks",Atlanta,0,NA
"Boston
Celtics",Atlanta,1086.22,1086.22
"Brooklyn
Nets",Atlanta,872.39,872.39
"Charlotte
Hornets",Atlanta,244.35,244.35
"Chicago
Bulls",Atlanta,718.13,718.13
"Cleveland
Cavaliers",Atlanta,707.78,707.78
"Dallas
Mavericks",Atlanta,782.72,782.72
"Denver
Nuggets",Atlanta,1399.62,1399.62
"Detroit
Pistons",Atlanta,730.24,730.24
"Golden
State
Warriors",Atlanta,2457.18,2457.18
"Houston
Rockets",Atlanta,793.34,793.34
"Indiana
Pacers",Atlanta,531.78,531.78
"Los
Angeles
Lakers/Clippers",Atlanta,2175.86,2175.86
"Memphis
Grizzlies",Atlanta,383.11,383.11
"Miami
Heat",Atlanta,662.17,662.17
"Milwaukee
Bucks",Atlanta,811.19,811.19
"Minnesota
Timberwolves",Atlanta,1126.43,1126.43
"New
Orleans
Pelicans",Atlanta,471.46,471.46
"New
York
Knicks",Atlanta,873.58,873.58
"Oklahoma
City
Thunder",Atlanta,848.02,848.02
"Orlando
Magic",Atlanta,438.51,438.51
"Philadelphia
76ers",Atlanta,784.85,784.85
"Phoenix
Suns",Atlanta,1845.33,1845.33
"Portland
Trailblazers",Atlanta,2595.09,2595.09
"Sacramento
Kings",Atlanta,2470.71,2470.71
"San
Antonio
Spurs",Atlanta,983.65,983.65
"Toronto
Raptors",Atlanta,968.86,968.86
"Utah
Jazz",Atlanta,1870.51,1870.51
"Washington
Wizards",Atlanta,637.9,637.9
"Atlanta
Hawks",Boston,1100.15,NA
"Boston
Celtics",Boston,0,NA
"Brooklyn
Nets",Boston,216.93,216.93
"Charlotte
Hornets",Boston,839.43,839.43
"Chicago
Bulls",Boston,984.66,984.66
"Cleveland
Cavaliers",Boston,640.16,640.16
"Dallas
Mavericks",Boston,1769.76,1769.76
"Denver
Nuggets",Boston,1970.45,1970.45
"Detroit
Pistons",Boston,718.09,718.09
"Golden
State
Warriors",Boston,3099.88,3099.88
"Houston
Rockets",Boston,1848.42,1848.42
"Indiana
Pacers",Boston,950.07,950.07
"Los
Angeles
Lakers/Clippers",Boston,2985.59,2985.59
"Memphis
Grizzlies",Boston,1363.81,1363.81
"Miami
Heat",Boston,1490.03,1490.03
"Milwaukee
Bucks",Boston,1074.06,1074.06
"Minnesota
Timberwolves",Boston,1390.43,1390.43
"New
Orleans
Pelicans",Boston,1526.43,1526.43
"New
York
Knicks",Boston,213.83,213.83
"Oklahoma
City
Thunder",Boston,1690.85,1690.85
"Orlando
Magic",Boston,1286.43,1286.43
"Philadelphia
76ers",Boston,306.63,306.63
"Phoenix
Suns",Boston,2648.03,2648.03
"Portland
Trailblazers",Boston,3091.49,3091.49
"Sacramento
Kings",Boston,3016.02,3016.02
"San
Antonio
Spurs",Boston,2038.73,2038.73
"Toronto
Raptors",Boston,549.47,549.47
"Utah
Jazz",Boston,2366.92,2366.92
"Washington
Wizards",Boston,439.52,439.52
"Atlanta
Hawks",Brooklyn - NY,865.25,NA
"Boston
Celtics",Brooklyn - NY,217.19,NA
"Brooklyn
Nets",Brooklyn - NY,0,NA
"Charlotte
Hornets",Brooklyn - NY,628.8,628.8
"Chicago
Bulls",Brooklyn - NY,793.24,793.24
"Cleveland
Cavaliers",Brooklyn - NY,470.85,470.85
"Dallas
Mavericks",Brooklyn - NY,1551.84,1551.84
"Denver
Nuggets",Brooklyn - NY,1779.03,1779.03
"Detroit
Pistons",Brooklyn - NY,625.56,625.56
"Golden
State
Warriors",Brooklyn - NY,2908.46,2908.46
"Houston
Rockets",Brooklyn - NY,1630.5,1630.5
"Indiana
Pacers",Brooklyn - NY,712.64,712.64
"Los
Angeles
Lakers/Clippers",Brooklyn - NY,2793.79,2793.79
"Memphis
Grizzlies",Brooklyn - NY,1099.51,1099.51
"Miami
Heat",Brooklyn - NY,1279.43,1279.43
"Milwaukee
Bucks",Brooklyn - NY,882.64,882.64
"Minnesota
Timberwolves",Brooklyn - NY,1199,1199
"New
Orleans
Pelicans",Brooklyn - NY,1308.51,1308.51
"New
York
Knicks",Brooklyn - NY,5.27,5.27
"Oklahoma
City
Thunder",Brooklyn - NY,1470.17,1470.17
"Orlando
Magic",Brooklyn - NY,1075.81,1075.81
"Philadelphia
76ers",Brooklyn - NY,96.39,96.39
"Phoenix
Suns",Brooklyn - NY,2427.35,2427.35
"Portland
Trailblazers",Brooklyn - NY,2900.07,2900.07
"Sacramento
Kings",Brooklyn - NY,2824.6,2824.6
"San
Antonio
Spurs",Brooklyn - NY,1820.81,1820.81
"Toronto
Raptors",Brooklyn - NY,499.93,499.93
"Utah
Jazz",Brooklyn - NY,2175.49,2175.49
"Washington
Wizards",Brooklyn - NY,229.28,229.28
"Atlanta
Hawks",Charlotte,243.69,NA
"Boston
Celtics",Charlotte,848.51,NA
"Brooklyn
Nets",Charlotte,634.7,NA
"Charlotte
Hornets",Charlotte,0,NA
"Chicago
Bulls",Charlotte,759.31,759.31
"Cleveland
Cavaliers",Charlotte,514.45,514.45
"Dallas
Mavericks",Charlotte,1027.08,1027.08
"Denver
Nuggets",Charlotte,1562.19,1562.19
"Detroit
Pistons",Charlotte,637.84,637.84
"Golden
State
Warriors",Charlotte,2701.54,2701.54
"Houston
Rockets",Charlotte,1036.73,1036.73
"Indiana
Pacers",Charlotte,575.29,575.29
"Los
Angeles
Lakers/Clippers",Charlotte,2420.22,2420.22
"Memphis
Grizzlies",Charlotte,627.46,627.46
"Miami
Heat",Charlotte,728.65,728.65
"Milwaukee
Bucks",Charlotte,852.37,852.37
"Minnesota
Timberwolves",Charlotte,1164.61,1164.61
"New
Orleans
Pelicans",Charlotte,714.84,714.84
"New
York
Knicks",Charlotte,635.88,635.88
"Oklahoma
City
Thunder",Charlotte,1086.24,1086.24
"Orlando
Magic",Charlotte,525.04,525.04
"Philadelphia
76ers",Charlotte,547.15,547.15
"Phoenix
Suns",Charlotte,2089.69,2089.69
"Portland
Trailblazers",Charlotte,2757.66,2757.66
"Sacramento
Kings",Charlotte,2682.19,2682.19
"San
Antonio
Spurs",Charlotte,1227.04,1227.04
"Toronto
Raptors",Charlotte,757.77,757.77
"Utah
Jazz",Charlotte,2033.09,2033.09
"Washington
Wizards",Charlotte,400.21,400.21
"Atlanta
Hawks",Chicago,717.27,NA
"Boston
Celtics",Chicago,984.73,NA
"Brooklyn
Nets",Chicago,794.52,NA
"Charlotte
Hornets",Chicago,767.69,NA
"Chicago
Bulls",Chicago,0,NA
"Cleveland
Cavaliers",Chicago,345.24,345.24
"Dallas
Mavericks",Chicago,928.46,928.46
"Denver
Nuggets",Chicago,1000.65,1000.65
"Detroit
Pistons",Chicago,282.85,282.85
"Golden
State
Warriors",Chicago,2130.07,2130.07
"Houston
Rockets",Chicago,1094.61,1094.61
"Indiana
Pacers",Chicago,187.37,187.37
"Los
Angeles
Lakers/Clippers",Chicago,2015.42,2015.42
"Memphis
Grizzlies",Chicago,535.59,535.59
"Miami
Heat",Chicago,1379.13,1379.13
"Milwaukee
Bucks",Chicago,91.18,91.18
"Minnesota
Timberwolves",Chicago,407.54,407.54
"New
Orleans
Pelicans",Chicago,927.85,927.85
"New
York
Knicks",Chicago,792.92,792.92
"Oklahoma
City
Thunder",Chicago,797.93,797.93
"Orlando
Magic",Chicago,1155.47,1155.47
"Philadelphia
76ers",Chicago,760.7,760.7
"Phoenix
Suns",Chicago,1750.67,1750.67
"Portland
Trailblazers",Chicago,2121.68,2121.68
"Sacramento
Kings",Chicago,2046.21,2046.21
"San
Antonio
Spurs",Chicago,1239.14,1239.14
"Toronto
Raptors",Chicago,520.26,520.26
"Utah
Jazz",Chicago,1397.11,1397.11
"Washington
Wizards",Chicago,703.6,703.6
"Atlanta
Hawks",Cleveland,708.26,NA
"Boston
Celtics",Cleveland,639.99,NA
"Brooklyn
Nets",Cleveland,463.8,NA
"Charlotte
Hornets",Cleveland,516.16,NA
"Chicago
Bulls",Cleveland,345.63,NA
"Cleveland
Cavaliers",Cleveland,0,NA
"Dallas
Mavericks",Cleveland,1182.24,1182.24
"Denver
Nuggets",Cleveland,1331.43,1331.43
"Detroit
Pistons",Cleveland,177.96,177.96
"Golden
State
Warriors",Cleveland,2460.85,2460.85
"Houston
Rockets",Cleveland,1306.84,1306.84
"Indiana
Pacers",Cleveland,316.17,316.17
"Los
Angeles
Lakers/Clippers",Cleveland,2346.56,2346.56
"Memphis
Grizzlies",Cleveland,729.91,729.91
"Miami
Heat",Cleveland,1241.25,1241.25
"Milwaukee
Bucks",Cleveland,435.04,435.04
"Minnesota
Timberwolves",Cleveland,751.4,751.4
"New
Orleans
Pelicans",Cleveland,1052.99,1052.99
"New
York
Knicks",Cleveland,462.99,462.99
"Oklahoma
City
Thunder",Cleveland,1056.95,1056.95
"Orlando
Magic",Cleveland,1037.65,1037.65
"Philadelphia
76ers",Cleveland,430.74,430.74
"Phoenix
Suns",Cleveland,2014.14,2014.14
"Portland
Trailblazers",Cleveland,2452.46,2452.46
"Sacramento
Kings",Cleveland,2376.99,2376.99
"San
Antonio
Spurs",Cleveland,1451.37,1451.37
"Toronto
Raptors",Cleveland,290.73,290.73
"Utah
Jazz",Cleveland,1727.89,1727.89
"Washington
Wizards",Cleveland,372.82,372.82
"Atlanta
Hawks",Dallas,784.23,NA
"Boston
Celtics",Dallas,1770.72,NA
"Brooklyn
Nets",Dallas,1551.85,NA
"Charlotte
Hornets",Dallas,1029.09,NA
"Chicago
Bulls",Dallas,971.8,NA
"Cleveland
Cavaliers",Dallas,1184.86,NA
"Dallas
Mavericks",Dallas,0,NA
"Denver
Nuggets",Dallas,794,794
"Detroit
Pistons",Dallas,1216.97,1216.97
"Golden
State
Warriors",Dallas,1714.18,1714.18
"Houston
Rockets",Dallas,241.73,241.73
"Indiana
Pacers",Dallas,909.47,909.47
"Los
Angeles
Lakers/Clippers",Dallas,1439.08,1439.08
"Memphis
Grizzlies",Dallas,456.66,456.66
"Miami
Heat",Dallas,1310.33,1310.33
"Milwaukee
Bucks",Dallas,1000.42,1000.42
"Minnesota
Timberwolves",Dallas,940.77,940.77
"New
Orleans
Pelicans",Dallas,507.14,507.14
"New
York
Knicks",Dallas,1552.83,1552.83
"Oklahoma
City
Thunder",Dallas,203.63,203.63
"Orlando
Magic",Dallas,1086.67,1086.67
"Philadelphia
76ers",Dallas,1469.58,1469.58
"Phoenix
Suns",Dallas,1064.58,1064.58
"Portland
Trailblazers",Dallas,2007.01,2007.01
"Sacramento
Kings",Dallas,1727.71,1727.71
"San
Antonio
Spurs",Dallas,271.93,271.93
"Toronto
Raptors",Dallas,1454.37,1454.37
"Utah
Jazz",Dallas,1240.61,1240.61
"Washington
Wizards",Dallas,1332.92,1332.92
"Atlanta
Hawks",Denver,1401.54,NA
"Boston
Celtics",Denver,1969.76,NA
"Brooklyn
Nets",Denver,1778.79,NA
"Charlotte
Hornets",Denver,1561.09,NA
"Chicago
Bulls",Denver,999.74,NA
"Cleveland
Cavaliers",Denver,1330.27,NA
"Dallas
Mavericks",Denver,792.49,NA
"Denver
Nuggets",Denver,0,NA
"Detroit
Pistons",Denver,1266.97,1266.97
"Golden
State
Warriors",Denver,1252.19,1252.19
"Houston
Rockets",Denver,1033.81,1033.81
"Indiana
Pacers",Denver,1090.87,1090.87
